Image 121 Metrics for Fake A: PSNR: 6.93, SSIM: nan, MSE: 0.81
Image 121 Metrics for Fake B: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 122 Metrics for Fake A: PSNR: 6.89, SSIM: nan, MSE: 0.82
Image 122 Metrics for Fake B: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 123 Metrics for Fake A: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 123 Metrics for Fake B: PSNR: 6.88, SSIM: nan, MSE: 0.82
Image 124 Metrics for Fake A: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 124 Metrics for Fake B: PSNR: 6.89, SSIM: nan, MSE: 0.82
Image 125 Metrics for Fake A: PSNR: 7.10, SSIM: nan, MSE: 0.78
Image 125 Metrics for Fake B: PSNR: 6.88, SSIM: nan, MSE: 0.82
Image 126 Metrics for Fake A: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 126 Metrics for Fake B: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 127 Metrics for Fake A: PSNR: 7.17, SSIM: nan, MSE: 0.77
Image 127 Metrics for Fake B: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 128 Metrics for Fake A: PSNR: 7.15, SSIM: nan, MSE: 0.77
Image 128 Metrics for Fake B: PSNR: 6.85, SSIM: nan, MSE: 0.83
Image 129 Metrics for Fake A: PSNR: 7.12, SSIM: nan, MSE: 0.78
Image 129 Metrics for Fake B: PSNR: 6.85, SSIM: nan, MSE: 0.83
Image 130 Metrics for Fake A: PSNR: 6.99, SSIM: nan, MSE: 0.80
Image 130 Metrics for Fake B: PSNR: 6.86, SSIM: nan, MSE: 0.82
Image 131 Metrics for Fake A: PSNR: 7.10, SSIM: nan, MSE: 0.78
Image 131 Metrics for Fake B: PSNR: 6.88, SSIM: nan, MSE: 0.82
Image 132 Metrics for Fake A: PSNR: 7.12, SSIM: nan, MSE: 0.78
Image 132 Metrics for Fake B: PSNR: 6.91, SSIM: nan, MSE: 0.82
Image 133 Metrics for Fake A: PSNR: 7.15, SSIM: nan, MSE: 0.77
Image 133 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 134 Metrics for Fake A: PSNR: 6.98, SSIM: nan, MSE: 0.80
